"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2024","4.5720","4.5665","4.6305","4.5400","","0.55%"
"01/23/2024","4.5470","4.6040","4.6365","4.5425","","-0.98%"
"01/22/2024","4.5920","4.5975","4.6485","4.5590","","0.13%"
"01/19/2024","4.5860","4.5315","4.6575","4.5105","","1.46%"
"01/18/2024","4.5200","4.5755","4.6115","4.4870","","-0.96%"
"01/17/2024","4.5640","4.6040","4.6495","4.5280","","-0.61%"
"01/16/2024","4.5920","4.6205","4.6800","4.5650","","-0.37%"
"01/15/2024","4.6090","4.5905","4.6590","4.5590","","1.05%"
"01/12/2024","4.5610","4.5765","4.6170","4.5310","","-0.09%"
"01/11/2024","4.5650","4.5385","4.6000","4.5280","","0.88%"
"01/10/2024","4.5250","4.5265","4.5700","4.4825","","0.24%"
"01/09/2024","4.5140","4.4580","4.5550","4.4145","","1.58%"
"01/08/2024","4.4440","4.4565","4.5105","4.4165","","-0.02%"
"01/05/2024","4.4450","4.4380","4.4810","4.3820","","0.41%"
"01/04/2024","4.4270","4.4050","4.4615","4.3565","","0.75%"
"01/03/2024","4.3940","4.4765","4.5030","4.3485","","-1.59%"
"01/02/2024","4.4650","4.5355","4.5355","4.4290","","-1.30%"
"01/01/2024","4.5240","4.5355","4.5355","4.5355","","0.00%"
"12/29/2023","4.5240","4.5775","4.5900","4.4235","","-0.92%"
"12/28/2023","4.5660","4.4220","4.6000","4.4045","","3.51%"
"12/27/2023","4.4110","4.4215","4.4605","4.3610","","0.02%"
"12/26/2023","4.4100","4.4230","4.4365","4.3960","","0.28%"
"12/25/2023","4.3975","4.4040","4.5305","4.3740","","0.13%"
"12/22/2023","4.3920","4.3670","4.4760","4.3285","","0.83%"
"12/21/2023","4.3560","4.4760","4.5055","4.3435","","-2.68%"
"12/20/2023","4.4760","4.4855","4.5455","4.4025","","0.04%"
"12/19/2023","4.4740","4.4845","4.5290","4.4465","","0.02%"
