"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","92.7400","93.4000","93.7412","92.4955","","-0.71%"
"10/31/2023","93.4000","92.8575","93.6045","91.6394","","0.58%"
"10/30/2023","92.8575","94.1250","94.3101","92.7375","","-1.35%"
"10/27/2023","94.1250","93.9600","94.4160","92.5338","","0.18%"
"10/26/2023","93.9600","93.3325","94.3162","93.1762","","0.67%"
"10/25/2023","93.3325","93.4000","93.4130","92.7716","","-0.07%"
"10/24/2023","93.4000","94.4250","94.4680","93.1637","","-1.09%"
"10/23/2023","94.4250","95.3200","95.5925","94.1648","","-0.94%"
"10/20/2023","95.3200","97.0500","97.1000","95.2087","","-1.78%"
"10/19/2023","97.0500","97.3900","97.5420","96.8050","","-0.35%"
"10/18/2023","97.3900","97.7000","97.7129","97.1058","","-0.32%"
"10/17/2023","97.7000","97.3975","97.9391","97.1807","","0.31%"
"10/16/2023","97.3975","97.2400","97.6897","96.9838","","0.16%"
"10/13/2023","97.2400","97.4275","97.9688","96.9585","","-0.19%"
"10/12/2023","97.4275","100.2000","100.2000","96.5375","","-2.77%"
"10/11/2023","100.2000","100.3000","100.6946","99.6634","","-0.10%"
"10/10/2023","100.3000","99.3225","100.7957","99.3020","","0.98%"
"10/09/2023","99.3225","100.4050","102.2742","98.9158","","-1.07%"
"10/06/2023","100.4014","100.4050","101.4750","99.7411","","0.00%"
"10/05/2023","100.4050","99.5800","100.5484","99.4735","","0.83%"
"10/04/2023","99.5800","99.6125","99.8527","99.2108","","-0.03%"
"10/03/2023","99.6125","99.7650","100.0638","99.0517","","-0.15%"
"10/02/2023","99.7650","97.9675","99.9331","97.9675","","1.83%"
"09/29/2023","97.9675","96.8025","98.0244","96.8025","","1.20%"
"09/28/2023","96.8025","96.9075","97.2762","96.5824","","-0.11%"
"09/27/2023","96.9075","96.3775","96.9075","96.2275","","0.55%"
"09/26/2023","96.3775","96.2350","96.3796","96.0189","","0.15%"
"09/25/2023","96.2350","96.2500","96.5272","95.9266","","-0.02%"
"09/22/2023","96.2500","95.9100","96.2553","95.7923","","0.35%"
"09/21/2023","95.9100","96.1500","96.6300","95.4083","","-0.25%"
"09/20/2023","96.1500","96.8400","96.9225","96.1500","","-0.71%"
"09/19/2023","96.8400","96.5450","97.0000","95.8950","","0.31%"
"09/18/2023","96.5450","96.8100","97.1645","96.2253","","-0.27%"
"09/15/2023","96.8100","97.3400","97.3400","96.1240","","-0.54%"
"09/14/2023","97.3400","96.2250","97.3553","95.6868","","1.16%"
"09/13/2023","96.2250","94.9425","96.5712","94.5975","","1.35%"
"09/12/2023","94.9425","95.0825","95.1962","92.5561","","-0.15%"
"09/11/2023","95.0825","97.7825","97.7825","95.0825","","-2.76%"
"09/08/2023","97.7825","98.2475","98.5710","97.6586","","-0.47%"
"09/07/2023","98.2475","98.1225","98.5448","97.4735","","0.13%"
"09/06/2023","98.1225","97.9050","98.4443","97.4246","","0.22%"
"09/05/2023","97.9050","96.8700","97.9050","96.8700","","1.07%"
"09/04/2023","96.8700","96.0900","96.9349","96.0900","","0.81%"
"09/01/2023","96.0900","96.0250","96.7041","95.8468","","0.07%"
"08/31/2023","96.0250","96.2200","96.6450","95.7018","","-0.20%"
"08/30/2023","96.2200","95.4575","96.2200","95.4575","","0.80%"
"08/29/2023","95.4575","95.3100","96.2570","95.2782","","0.15%"
"08/28/2023","95.3100","95.4175","95.8549","95.0966","","-0.11%"
"08/25/2023","95.4175","94.8650","95.5275","94.5048","","0.58%"
"08/24/2023","94.8650","94.2600","94.8650","94.2285","","0.64%"
"08/23/2023","94.2600","94.3025","94.9618","93.9382","","-0.05%"
"08/22/2023","94.3025","93.6550","94.5395","93.5825","","0.69%"
"08/21/2023","93.6550","93.7550","94.6648","93.0877","","-0.11%"
"08/18/2023","93.7550","93.7725","93.9512","92.6350","","-0.02%"
"08/17/2023","93.7725","94.6650","95.4195","92.5894","","-0.94%"
"08/16/2023","94.6650","97.0900","97.4927","94.3075","","-2.50%"
