"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2023","1.5106","1.4995","1.5144","1.4943","","0.85%"
"12/01/2023","1.4979","1.5137","1.5155","1.4974","","-1.05%"
"11/30/2023","1.5138","1.5110","1.5220","1.5034","","0.20%"
"11/29/2023","1.5108","1.5041","1.5138","1.4976","","0.47%"
"11/28/2023","1.5038","1.5138","1.5161","1.5000","","-0.63%"
"11/27/2023","1.5133","1.5195","1.5230","1.5117","","-0.38%"
"11/24/2023","1.5191","1.5253","1.5270","1.5170","","-0.36%"
"11/23/2023","1.5246","1.5283","1.5292","1.5207","","-0.25%"
"11/22/2023","1.5284","1.5253","1.5335","1.5220","","0.20%"
"11/21/2023","1.5253","1.5256","1.5282","1.5173","","0.01%"
"11/20/2023","1.5251","1.5360","1.5385","1.5230","","-0.72%"
"11/17/2023","1.5361","1.5464","1.5501","1.5345","","-0.58%"
"11/16/2023","1.5451","1.5366","1.5481","1.5342","","0.57%"
"11/15/2023","1.5363","1.5371","1.5426","1.5285","","-0.02%"
"11/14/2023","1.5366","1.5682","1.5725","1.5352","","-2.00%"
"11/13/2023","1.5679","1.5743","1.5757","1.5642","","-0.18%"
"11/10/2023","1.5708","1.5705","1.5776","1.5690","","0.01%"
"11/09/2023","1.5706","1.5612","1.5716","1.5553","","0.56%"
"11/08/2023","1.5618","1.5547","1.5633","1.5503","","0.58%"
"11/07/2023","1.5528","1.5410","1.5617","1.5380","","0.78%"
"11/06/2023","1.5408","1.5364","1.5422","1.5328","","0.35%"
"11/03/2023","1.5354","1.5543","1.5577","1.5338","","-1.20%"
"11/02/2023","1.5540","1.5641","1.5653","1.5486","","-0.64%"
"11/01/2023","1.5640","1.5783","1.5829","1.5624","","-0.87%"
"10/31/2023","1.5778","1.5691","1.5839","1.5677","","0.60%"
"10/30/2023","1.5684","1.5770","1.5795","1.5662","","-0.64%"
"10/27/2023","1.5785","1.5812","1.5825","1.5700","","-0.21%"
"10/26/2023","1.5818","1.5853","1.5950","1.5793","","-0.20%"
"10/25/2023","1.5850","1.5734","1.5862","1.5624","","0.74%"
"10/24/2023","1.5733","1.5780","1.5796","1.5673","","-0.27%"
"10/23/2023","1.5775","1.5827","1.5902","1.5748","","-0.33%"
"10/20/2023","1.5828","1.5800","1.5882","1.5789","","0.19%"
"10/19/2023","1.5798","1.5785","1.5886","1.5730","","0.11%"
"10/18/2023","1.5780","1.5713","1.5804","1.5639","","0.44%"
"10/17/2023","1.5711","1.5770","1.5788","1.5671","","-0.33%"
"10/16/2023","1.5763","1.5870","1.5890","1.5758","","-0.81%"
"10/13/2023","1.5891","1.5838","1.5910","1.5785","","0.35%"
"10/12/2023","1.5835","1.5590","1.5856","1.5547","","1.57%"
"10/11/2023","1.5591","1.5547","1.5655","1.5512","","0.28%"
"10/10/2023","1.5547","1.5596","1.5651","1.5541","","-0.33%"
"10/09/2023","1.5598","1.5721","1.5767","1.5589","","-0.41%"
"10/06/2023","1.5662","1.5698","1.5841","1.5623","","-0.22%"
"10/05/2023","1.5696","1.5812","1.5829","1.5676","","-0.72%"
