"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2023","57.81","58.21","58.44","57.16","","-0.70%"
"11/15/2023","58.21","58.90","59.55","57.43","","-1.16%"
"11/14/2023","58.89","58.61","59.05","57.64","","0.50%"
"11/13/2023","58.60","58.61","59.00","58.11","","-0.20%"
"11/10/2023","58.72","58.37","58.88","58.01","","0.64%"
"11/09/2023","58.35","58.83","59.52","58.35","","-0.75%"
"11/08/2023","58.79","59.24","59.71","58.64","","-0.80%"
"11/07/2023","59.26","60.12","60.24","58.63","","-1.41%"
"11/06/2023","60.11","60.44","60.68","59.70","","-0.58%"
"11/03/2023","60.46","60.01","60.69","59.17","","0.75%"
"11/02/2023","60.01","59.20","60.53","59.07","","1.39%"
"11/01/2023","59.19","59.30","59.62","58.43","","-0.19%"
"10/31/2023","59.30","58.98","59.60","58.13","","0.53%"
"10/30/2023","58.99","59.73","60.08","58.82","","-1.13%"
"10/27/2023","59.66","59.23","60.81","58.10","","0.79%"
"10/26/2023","59.19","59.30","59.66","58.33","","-0.17%"
"10/25/2023","59.29","59.41","60.04","58.74","","-0.18%"
"10/24/2023","59.40","59.88","60.30","58.79","","-0.77%"
"10/23/2023","59.86","60.31","60.68","58.88","","-0.63%"
"10/20/2023","60.25","60.88","61.47","59.97","","-0.64%"
"10/19/2023","60.63","62.15","62.34","60.54","","-2.45%"
"10/18/2023","62.16","62.38","62.78","61.53","","-0.34%"
"10/17/2023","62.37","61.78","62.55","61.49","","0.95%"
"10/16/2023","61.78","61.56","62.19","61.18","","0.53%"
"10/13/2023","61.46","61.70","62.15","60.62","","-0.39%"
"10/12/2023","61.70","64.46","64.60","60.97","","-4.27%"
"10/11/2023","64.46","64.51","64.93","62.66","","-0.07%"
"10/10/2023","64.50","63.80","64.83","62.62","","1.12%"
"10/09/2023","63.78","64.25","65.84","62.51","","-1.06%"
"10/06/2023","64.47","63.78","65.63","61.49","","1.08%"
"10/05/2023","63.78","63.11","64.04","62.35","","1.06%"
"10/04/2023","63.11","63.09","64.00","61.94","","0.05%"
"10/03/2023","63.08","62.87","63.63","61.59","","0.34%"
"10/02/2023","62.87","63.02","63.86","61.98","","-0.31%"
"09/29/2023","63.06","61.86","63.99","61.44","","2.01%"
"09/28/2023","61.82","61.68","62.73","61.07","","0.24%"
"09/27/2023","61.67","61.79","62.36","60.16","","-0.19%"
"09/26/2023","61.79","60.97","63.05","60.78","","1.37%"
"09/25/2023","60.96","62.11","62.43","60.90","","-1.74%"
"09/22/2023","62.04","61.10","62.50","60.81","","1.53%"
"09/21/2023","61.10","61.92","62.34","60.51","","-1.27%"
"09/20/2023","61.89","61.97","63.29","61.48","","-0.13%"
"09/19/2023","61.97","61.77","63.53","60.97","","0.38%"
"09/18/2023","61.73","62.37","63.34","61.10","","-0.87%"
"09/15/2023","62.27","61.99","63.21","61.06","","0.45%"
"09/14/2023","61.99","61.81","62.71","60.93","","0.36%"
"09/13/2023","61.77","61.68","63.03","59.38","","0.18%"
"09/12/2023","61.66","61.16","62.67","59.29","","0.85%"
"09/11/2023","61.14","62.48","63.09","60.84","","-1.92%"
"09/08/2023","62.33","62.81","63.44","61.76","","-0.77%"
"09/07/2023","62.81","62.81","63.28","61.53","","0.02%"
"09/06/2023","62.80","61.75","63.23","61.51","","1.55%"
"09/05/2023","61.84","62.53","62.90","61.28","","-1.14%"
"09/04/2023","62.56","62.25","63.07","61.71","","0.61%"
"09/01/2023","62.18","62.15","63.23","61.31","","0.02%"
"08/31/2023","62.17","62.26","63.04","61.27","","-0.16%"
"08/30/2023","62.26","61.86","63.05","61.36","","0.73%"
"08/29/2023","61.81","60.71","62.81","59.66","","1.75%"
"08/28/2023","60.75","60.89","61.99","60.17","","-0.08%"
"08/25/2023","60.80","60.65","62.54","59.08","","0.25%"
"08/24/2023","60.65","60.93","62.73","59.47","","-0.37%"
"08/23/2023","60.87","60.71","61.70","58.67","","0.30%"
"08/22/2023","60.69","59.95","61.43","59.49","","1.23%"
"08/21/2023","59.95","61.04","61.67","59.06","","-1.67%"
"08/18/2023","60.97","60.52","62.10","58.23","","0.74%"
"08/17/2023","60.52","62.54","62.59","58.21","","-3.24%"
"08/16/2023","62.55","63.93","64.08","59.25","","-2.12%"
"08/15/2023","63.90","63.89","65.51","60.74","","0.03%"
"08/14/2023","63.88","65.02","66.66","62.48","","-1.70%"
"08/11/2023","64.99","63.44","65.22","62.72","","2.48%"
"08/10/2023","63.42","63.24","64.66","62.52","","0.31%"
"08/09/2023","63.22","63.62","64.53","62.10","","-0.62%"
"08/08/2023","63.61","62.84","63.95","61.55","","1.20%"
"08/07/2023","62.85","62.99","64.30","62.19","","-0.22%"
"08/04/2023","62.99","61.95","64.68","59.76","","1.73%"
"08/03/2023","61.93","61.66","64.04","60.26","","0.42%"
"08/02/2023","61.66","61.11","62.16","59.83","","0.95%"
"08/01/2023","61.08","61.67","61.98","60.10","","-0.85%"
"07/31/2023","61.61","61.30","62.26","59.93","","0.63%"
"07/28/2023","61.22","60.83","61.87","59.33","","0.64%"
"07/27/2023","60.83","60.84","61.89","60.29","","0.05%"
"07/26/2023","60.80","61.25","61.63","60.01","","-0.81%"
"07/25/2023","61.30","60.94","61.91","60.06","","0.57%"
"07/24/2023","60.95","60.93","61.95","59.53","","0.10%"
"07/21/2023","60.89","61.29","62.05","60.28","","-0.65%"
"07/20/2023","61.29","62.13","63.00","60.89","","-1.36%"
"07/19/2023","62.13","61.84","62.46","60.81","","0.48%"
"07/18/2023","61.83","61.58","62.77","60.83","","0.41%"
"07/17/2023","61.58","61.74","62.23","60.89","","-0.19%"
"07/14/2023","61.70","62.07","62.49","61.32","","-0.59%"
"07/13/2023","62.07","61.41","62.68","61.05","","1.05%"
"07/12/2023","61.42","60.51","61.92","59.69","","1.49%"
"07/11/2023","60.52","60.78","61.21","59.49","","-0.49%"
"07/10/2023","60.81","60.99","63.53","59.77","","-0.37%"
"07/07/2023","61.04","60.42","61.69","59.38","","0.98%"
"07/06/2023","60.45","60.43","63.75","58.94","","0.05%"
"07/05/2023","60.42","60.87","61.20","59.16","","-0.76%"
"07/04/2023","60.89","59.71","61.34","58.25","","1.98%"
"07/03/2023","59.70","58.63","60.44","58.29","","1.82%"
"06/30/2023","58.64","57.47","60.10","57.35","","2.07%"
"06/29/2023","57.45","56.76","58.50","55.66","","1.24%"
"06/28/2023","56.74","57.14","57.72","55.92","","-0.68%"
"06/27/2023","57.13","56.31","57.70","56.18","","1.48%"
