"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2024","1.6545","1.6494","1.6561","1.6473","","0.39%"
"01/23/2024","1.6480","1.6564","1.6575","1.6467","","-0.48%"
"01/22/2024","1.6559","1.6531","1.6574","1.6483","","0.28%"
"01/19/2024","1.6513","1.6548","1.6572","1.6477","","-0.17%"
"01/18/2024","1.6541","1.6608","1.6678","1.6536","","-0.36%"
"01/17/2024","1.6600","1.6515","1.6636","1.6493","","0.54%"
"01/16/2024","1.6511","1.6440","1.6530","1.6426","","0.47%"
"01/15/2024","1.6434","1.6371","1.6469","1.6346","","0.37%"
"01/12/2024","1.6374","1.6408","1.6421","1.6316","","-0.16%"
"01/11/2024","1.6400","1.6378","1.6465","1.6322","","0.17%"
"01/10/2024","1.6372","1.6346","1.6395","1.6297","","0.20%"
"01/09/2024","1.6339","1.6298","1.6370","1.6276","","0.29%"
"01/08/2024","1.6291","1.6283","1.6405","1.6258","","-0.01%"
"01/05/2024","1.6293","1.6322","1.6387","1.6283","","-0.11%"
"01/04/2024","1.6311","1.6228","1.6351","1.6171","","0.57%"
"01/03/2024","1.6218","1.6193","1.6279","1.6157","","0.26%"
"01/02/2024","1.6176","1.6207","1.6230","1.6125","","-0.21%"
"01/01/2024","1.6210","1.6205","1.6232","1.6186","","0.06%"
"12/29/2023","1.6201","1.6194","1.6307","1.6164","","0.07%"
"12/28/2023","1.6189","1.6221","1.6318","1.6160","","-0.15%"
"12/27/2023","1.6213","1.6186","1.6245","1.6136","","0.21%"
"12/26/2023","1.6179","1.6199","1.6218","1.6159","","-0.08%"
"12/25/2023","1.6192","1.6201","1.6252","1.6165","","0.02%"
"12/22/2023","1.6189","1.6186","1.6240","1.6163","","0.05%"
"12/21/2023","1.6181","1.6256","1.6276","1.6163","","-0.41%"
"12/20/2023","1.6248","1.6238","1.6264","1.6147","","0.08%"
"12/19/2023","1.6235","1.6283","1.6303","1.6202","","-0.29%"
"12/18/2023","1.6282","1.6262","1.6326","1.6212","","0.10%"
"12/15/2023","1.6265","1.6410","1.6430","1.6219","","-0.82%"
"12/14/2023","1.6400","1.6325","1.6423","1.6202","","0.51%"
"12/13/2023","1.6316","1.6459","1.6484","1.6300","","-0.82%"
"12/12/2023","1.6451","1.6389","1.6480","1.6317","","0.40%"
"12/11/2023","1.6385","1.6356","1.6435","1.6343","","0.17%"
"12/08/2023","1.6357","1.6349","1.6382","1.6286","","0.09%"
"12/07/2023","1.6342","1.6434","1.6494","1.6334","","-0.54%"
"12/06/2023","1.6431","1.6479","1.6488","1.6355","","-0.25%"
"12/05/2023","1.6473","1.6370","1.6522","1.6351","","0.64%"
"12/04/2023","1.6369","1.6319","1.6384","1.6264","","0.42%"
"12/01/2023","1.6300","1.6485","1.6531","1.6288","","-1.07%"
"11/30/2023","1.6477","1.6576","1.6592","1.6441","","-0.56%"
"11/29/2023","1.6570","1.6532","1.6609","1.6495","","0.27%"
"11/28/2023","1.6526","1.6583","1.6595","1.6503","","-0.30%"
"11/27/2023","1.6575","1.6625","1.6669","1.6556","","-0.25%"
"11/24/2023","1.6617","1.6635","1.6641","1.6595","","-0.04%"
"11/23/2023","1.6624","1.6643","1.6655","1.6594","","-0.09%"
"11/22/2023","1.6639","1.6643","1.6702","1.6596","","-0.01%"
"11/21/2023","1.6640","1.6689","1.6698","1.6621","","-0.25%"
"11/20/2023","1.6681","1.6756","1.6788","1.6641","","-0.44%"
"11/17/2023","1.6754","1.6770","1.6806","1.6684","","-0.07%"
"11/16/2023","1.6765","1.6673","1.6803","1.6653","","0.58%"
"11/15/2023","1.6668","1.6723","1.6767","1.6630","","-0.29%"
"11/14/2023","1.6716","1.6776","1.6845","1.6703","","-0.32%"
"11/13/2023","1.6770","1.6808","1.6837","1.6733","","-0.05%"
"11/10/2023","1.6778","1.6757","1.6839","1.6740","","0.16%"
"11/09/2023","1.6752","1.6724","1.6762","1.6663","","0.18%"
"11/08/2023","1.6722","1.6636","1.6735","1.6567","","0.66%"
"11/07/2023","1.6613","1.6516","1.6668","1.6474","","0.61%"
"11/06/2023","1.6513","1.6487","1.6545","1.6450","","0.24%"
"11/03/2023","1.6473","1.6509","1.6537","1.6457","","-0.18%"
"11/02/2023","1.6503","1.6532","1.6574","1.6452","","-0.15%"
"11/01/2023","1.6528","1.6686","1.6730","1.6499","","-0.95%"
"10/31/2023","1.6687","1.6652","1.6766","1.6640","","0.25%"
"10/30/2023","1.6645","1.6662","1.6691","1.6587","","-0.19%"
"10/27/2023","1.6676","1.6700","1.6713","1.6595","","-0.17%"
"10/26/2023","1.6704","1.6747","1.6829","1.6664","","-0.25%"
"10/25/2023","1.6746","1.6665","1.6763","1.6554","","0.53%"
"10/24/2023","1.6658","1.6838","1.6853","1.6647","","-1.02%"
"10/23/2023","1.6829","1.6768","1.6851","1.6738","","0.38%"
"10/20/2023","1.6766","1.6718","1.6797","1.6708","","0.30%"
"10/19/2023","1.6716","1.6625","1.6749","1.6614","","0.55%"
"10/18/2023","1.6625","1.6620","1.6639","1.6549","","0.07%"
"10/17/2023","1.6614","1.6653","1.6670","1.6568","","-0.17%"
"10/16/2023","1.6642","1.6681","1.6711","1.6624","","-0.35%"
"10/13/2023","1.6700","1.6672","1.6710","1.6641","","0.19%"
"10/12/2023","1.6668","1.6562","1.6699","1.6530","","0.69%"
"10/11/2023","1.6553","1.6489","1.6578","1.6464","","0.41%"
"10/10/2023","1.6485","1.6484","1.6562","1.6441","","0.04%"
"10/09/2023","1.6479","1.6645","1.6658","1.6472","","-0.60%"
"10/06/2023","1.6579","1.6562","1.6650","1.6523","","0.14%"
"10/05/2023","1.6556","1.6617","1.6631","1.6501","","-0.30%"
"10/04/2023","1.6606","1.6608","1.6645","1.6545","","0.02%"
"10/03/2023","1.6603","1.6467","1.6648","1.6454","","0.86%"
"10/02/2023","1.6461","1.6439","1.6523","1.6389","","0.23%"
"09/29/2023","1.6423","1.6432","1.6455","1.6313","","-0.04%"
"09/28/2023","1.6429","1.6530","1.6559","1.6423","","-0.58%"
"09/27/2023","1.6525","1.6523","1.6584","1.6465","","0.01%"
"09/26/2023","1.6523","1.6489","1.6559","1.6460","","0.25%"
"09/25/2023","1.6482","1.6518","1.6595","1.6467","","-0.31%"
"09/22/2023","1.6533","1.6609","1.6640","1.6465","","-0.43%"
"09/21/2023","1.6604","1.6537","1.6656","1.6508","","0.43%"
"09/20/2023","1.6533","1.6543","1.6568","1.6472","","-0.03%"
"09/19/2023","1.6538","1.6603","1.6628","1.6517","","-0.39%"
"09/18/2023","1.6602","1.6540","1.6621","1.6522","","0.25%"
"09/15/2023","1.6560","1.6519","1.6598","1.6451","","0.25%"
"09/14/2023","1.6518","1.6699","1.6727","1.6507","","-1.10%"
"09/13/2023","1.6702","1.6736","1.6800","1.6693","","-0.20%"
"09/12/2023","1.6735","1.6715","1.6753","1.6642","","0.16%"
